JobTitle,JobPostingURL,Locations,CompanyName,CompanyTagline,CompanyFounded,EmployeeCount,AboutCompany,Skills,Job ID
SDE 3 - Backend,https://www.instahyre.com/job-329610-sde-3-backend-at-alltius-bangalore/,Bangalore,Alltius,AI assistants for enterprises,2022.0,10,"Alltius is an AI-driven enterprise platform that allows product owners to harness the power of Generative AI in a secure, accurate, and reliable manner to add conversational capabilities to their software products. ","Python, Java, MongoDB, Chatbots, Sass",329610
Full Stack Developer (Java),https://www.instahyre.com/job-329953-full-stack-developer-java-at-coffeebeans-chennai/,Chennai,CoffeeBeans,Building Machine Learning based products,2017.0,50,"CoffeeBeans helps businesses with cutting edge technology. Also creates multiple products in various different domains. The main expertise lies in Mobile Apps, Responsive Web apps and Big Data Analytics.","Java, Angular, AWS",329953
SSE (Node+Golang),https://www.instahyre.com/job-326840-sse-nodegolang-at-niyo-solutions-bangalore/,Bangalore,NiYO Solutions,"Payments made smarter, simpler & safer",2015.0,200,"NiYO is a fintech company providing digital payment solutions. It provides various cards to customers that aim to save tax, provide smooth transactions, borrow future salary, save costs, global forex & other benefits. ","Node.js, Golang",326840
SDE3 (Backend),https://www.instahyre.com/job-307748-sde3-backend-at-navi-3-bangalore/,Bangalore,Navi,"Making financial services simple, affordable, and accessible",2019.0,50,"Navi Technologies is building a consumer-centric and technology-driven business to make financial services simple and accessible for everyone by offering a range of loans, insurance, and more. ","Java, Python, Algorithms, Data Structures, Kafka",307748
Senior Software Engineer,https://www.instahyre.com/job-329666-senior-software-engineer-at-samsara-bangalore/,Bangalore,Samsara,Pioneer of the connected cloud operations,2015.0,1000,"Samsara is a software development company that enables over 20,000 customers across North America and Europe with a platform to harness IoT data to develop actionable insights and improve their operations. ","C++, Golang, Java, Python",329666
Java Developer,https://www.instahyre.com/job-329976-java-developer-at-anunta-technologies-bangalore/,Bangalore,Anunta Technologies,Unparalleled expertise in putting the U at the very center of EUC,2012.0,500,"Anuntac provides Application Delivery as a Service (ADaaS) on its proprietary platform. Also offers managed hosted desktops, remote infrastructure management, service desk, managed data center services and more.","Java, Spring, Spring Boot, J2EE, Data Structures",329976
Java Developer,https://www.instahyre.com/job-329425-java-developer-at-cashfree-work-from-home/,Work From Home,Cashfree,Making Payments Simple For India,2015.0,500,"Cashfree offers payment gateway and invoicing solutions to businesses, along with a money transfer API. The company is s backed by Y Combinator and incubated by Paypal. Customers include Dunzo, Nykaa, etc. ","Java, Microservices, Spring, Data Structures, Algorithms",329425
Senior / Lead Product Designer,https://www.instahyre.com/job-88974-senior-lead-product-designer-at-instawork-bangalore/,Bangalore,Instawork,Where hospitality businesses and talent find each other,2015.0,10,Instawork is a career marketplace for hospitality professionals in the US. It uses an automated matching solution to help small businesses like restaurants to hire people easily.,"UX Design, Wireframing, Figma, Sketch, InDesign",88974
Backend Developer,https://www.instahyre.com/job-328284-backend-developer-at-adequate-infosoft-work-from-home/,Work From Home,Adequate Infosoft,Delivering quality software worldwide,2015.0,10,"Adequate Infosoft is a technology company with expertise in web design and development, custom software development, and mobile development and caters to the real estate, travel, and finance industries. ","Java, Node.js, Azure, Redis, PostgreSQL",328284
Sr. QA & Testing Analyst,https://www.instahyre.com/job-328315-sr-qa-testing-analyst-at-evernorth-health-services-hyderabad/,Hyderabad,Evernorth Health Services,Creating world-class pharmacy,1993.0,1000,"Evernorth is a pharmacy benefit management and specialty managed care company delivering premier health services including benefits management, pharmacy, care solutions, insights, and more for organizations. ","Automation Testing, API Testing, Jira, SQL",328315
Backend Developer,https://www.instahyre.com/job-325585-backend-developer-at-indium-software-bangalore-chennai-hyderabad/,"Bangalore,Chennai,Hyderabad",Indium Software,We Make Technology Work,1999.0,1000,"Indium Software is an IT & Services organization that provides services related to Test Automation, Performance Testing, Compatibility Testing, Cloud Testing, Big Data Engineering, etc. ","Python, Django, Flask",325585
