JobTitle,JobPostingURL,Locations,CompanyName,CompanyTagline,CompanyFounded,EmployeeCount,AboutCompany,Job ID,Skill1,Skill2,Skill3,Skill4,Skill5,Skill6,Skill7,Skill8,Skill9,Skill10
Event Sales Executive,https://www.instahyre.com/job-330144-event-sales-executive-at-abresh-events-indore/,Indore,ABResh Events,"Elite, engaged, evolved",2024.0,50,"ABResh is an events services company fostering a community of passionate individuals for personal and professional growth through activities like hackathons, cultural festivals, wellness workshops, and mentorship. ",330144,Sales,Corporate Sales,Direct Sales,Telecalling,,,,,,
Software Engineer - Java,https://www.instahyre.com/job-321965-software-engineer-java-at-impact-analytics-bangalore/,Bangalore,Impact Analytics,Blending the Science & Art of AI,2015.0,50,"Impact Analytics helps clients by providing solutions of Price Optimization, Marketing Analytics, Omnichannel Solutions, Personalization, Buying Optimization, CRM, Churn Reduction, Campaign Management, etc. ",321965,Java,Spring,,,,,,,,
Product Manager,https://www.instahyre.com/job-247967-product-manager-at-makerobos-innovation-labs-jaipur/,Jaipur,Makerobos Innovation Labs,Build enterprise chatbot for sales & marketing,2018.0,10,"Makerobos builds enterprise chatbot for sales & marketing specializing in Machine Learning, Internet of things, Smart Recommendation Engines, Conversational AI, Speech AI, etc.",247967,Consumer Software,Enterprise Software,Product Management,,,,,,,
Lead Product Manager,https://www.instahyre.com/job-327528-lead-product-manager-at-5day-ahmedabad/,Ahmedabad,5day.io,A project management platform that makes work fun,2022.0,10,"5day.io is an intelligent work management platform that empowers organizations to streamline project management, tasks, and collaboration by offering a single, integrated solution to automate manual processes. ",327528,Product Management,KPI,,,,,,,,
Senior Software Engineer,https://www.instahyre.com/job-330033-senior-software-engineer-at-adyen-bangalore/,Bangalore,Adyen,The platform to help a business grow,2006.0,1000,"Adyen is the fintech platform that provides payment capabilities, data-driven insights, and financial products to help businesses protect revenue, provide customer-friendly authentication, and control finances. ",330033,Java,Data Structures,Algorithms,SQL,Kafka,,,,,
Blockchain Developer,https://www.instahyre.com/job-190667-blockchain-developer-at-get-wise-systems-bangalore/,Bangalore,Get Wise Systems,Your digital innovation and business transformation partner,2014.0,10,Get Wise is a technology firm that assists CIOs and CXOs at startups and mid-sized enterprises in removing and reducing the complexities in developing Web3.0 internet applications based on blockchain. ,190667,Blockchain,Ethereum,Hyperledger,,,,,,,
Operation Analyst,https://www.instahyre.com/job-312029-operation-analyst-at-certify-work-from-home/,Work From Home,Certify,The next generation of provider data technology,2021.0,50,"CertifyOS is a healthcare intelligence platform leveraging API integrations to automate licensing, enrollment, credentialing, and network monitoring with insight for frictionless processes with one-click actions. ",312029,Operations Management,Data Analysis,Microsoft Excel,,,,,,,
Architect,https://www.instahyre.com/job-325661-architect-at-leadsquared-bangalore/,Bangalore,LeadSquared,Sales Execution and Marketing automation software SAAS,2012.0,200,"LeadSquared offers web-based tools to help startups and SMEs with lead management features and help businesses capture, engage and convert leads from online marketing. Customers include Flipkart, Randstad, etc. ",325661,Node.js,,,,,,,,,
Principal Engineer,https://www.instahyre.com/job-326148-principal-engineer-at-cyware-labs-bangalore/,Bangalore,Cyware Labs,Building a Self Responding Collective Defense Network,2016.0,200,Cyware is an app to help cyber security professionals and general internet users stay informed about happenings in the cyber world with expertly curated stories and updates. ,326148,Python,Flask,PostgreSQL,,,,,,,
Corporate Sales Manager,https://www.instahyre.com/job-312026-corporate-sales-manager-at-oyo-rooms-mumbai/,Mumbai,OYO Rooms,A technology driven chain of standardized budget hotels,2013.0,1000,OYO Rooms is a marketplace of branded budget hotels with standardized stay experience. Has launched in 100+ cities in India and is considered to be the next billion dollar startup from India. ,312026,Corporate Sales,Sales,Business Development,,,,,,,
Senior Backend Developer (Python),https://www.instahyre.com/job-328707-senior-backend-developer-python-at-truefoundry-work-from-home/,Work From Home,TrueFoundry,Making your Data Science and ML Teams 10X Productive,2021.0,10,TrueFoundry aims to build an MLOps platform that provides every company an automated post model pipeline similar at par with top tech companies. It automates API deployment along with numerous features. ,328707,LLMs,FastAPI,Flask,Python,Machine Learning,,,,,
Business Development Representative,https://www.instahyre.com/job-329506-business-development-representative-at-shield-bangalore/,Bangalore,Shield,The mobile-first risk intelligence platform,2008.0,50,"Shield is a risk intelligence company that offers solutions for device fingerprinting, enterprise-grade protection, ad fraud prevention, and alternative credit risk intelligence to empower businesses to stop fraud. ",329506,Sales,Business Development,,,,,,,,
Fullstack Developer,https://www.instahyre.com/job-307327-fullstack-developer-at-amazon-bangalore/,Bangalore,Amazon,Earth's most customer-centric company,1994.0,1000,"Amazon is the world's largest online retailer. The company has been referred to as ""one of the most influential economic and cultural forces in the world"", as well as the world's most valuable brand. ",307327,Node.js,React.js,AWS,,,,,,,
Content Specialist,https://www.instahyre.com/job-155099-content-specialist-at-simplotel-bangalore/,Bangalore,Simplotel,To simplify the life of hoteliers,2013.0,50,"Simplotel offers a cloud based platform for hotels & motels to give their services & manage their bookings through their web platform. Founders have worked at Amazon, Myntra, Zomato, etc. ",155099,Content Marketing,Content Writing,Copy Writing,English Content,SEO,,,,,
